Comment,Designator,Footprint,LCSC
8MHz,"Y1,Y2",Crystal_SMD_HC49-SD,C12674
2.7k,R4,R_0603_1608Metric,C13167
0.1uF,"C5,C6,C8,C9",C_0603_1608Metric,C14663
22pF,"C1,C2,C3,C4",C_0603_1608Metric,C1653
MCP2515-xST,"U1,U3",TSSOP-20_4.4x6.5mm_P0.65mm,C185941
10k,"R1,R2,R3,R5,R6",R_0603_1608Metric,C25804
Conn_01x02_Pin,"J4,J5",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,C2982031
10uF/16V,"C10,C7",CP_EIA-3216-18_Kemet-A,C7171
TJA1051T,"U2,U4",SOIC-8_3.9x4.9mm_P1.27mm,C92211
