Comment,Designator,Footprint,LCSC
SN65HVD230,U2,SOIC-8_3.9x4.9mm_P1.27mm,C12084
SW_SPDT,SW1,SW_SPDT_MT-0-103-F001-T000-RS,C1788498
1M,R6,R_1206_3216Metric,C17927
10k,"R1,R2,R3,R4,R5,R7",R_0603_1608Metric,C25804
Conn_01x02_Pin,"J5,J6,J7,J8",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,C2982031
Conn_01x04_Pin,J4,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,C2982033
Conn_01x09_Pin,J1,Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,C2982038
